"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"settings/adv/selfShadows";"Self-shadowing";"Ombres du véhicule du joueur";"Auto-ombreggiatura";"Selbstschatten";"Sombras de aviones sobre sí mismos";"Самозатенение";"Samo-cieniowanie";"Vlastní stíny";"Öz-gölgeleme";"自我阴影";"自身陰影";"セルフシャドー";"Sombras próprias";"Đổ bóng";"Самозатінення";"Samo-senčenje";"셀프새도윙";"Önárnyékolás";"Самазацяненне";"Autoumbrire";""
"settings/adv/motionBlur";"Motion blur";"Flou directionnel";"Effetto mosso";"Bewegungsunschärfe";"Efecto movimiento";"Размытие при движении";"Rozmycie w ruchu";"Rozmazání pohybu";"Hareket bulanıklığı";"动态模糊";"動態模糊";"モーションブラー";"Efeitos de movimento";"Chuyển động mờ";"Розмиття при русі";"Zamaglivanje pokreta";"모션 흐리게";"Elmosódás";"Размыццё ў руху";"Neclaritate de mișcare";""
"settings/adv/haze";"Haze";"Brume";"Foschia";"Luft-Refraktion";"Bruma";"Эффект горячего воздуха";"Efekt gorącego powietrza";"Efekt horkého vzduchu";"Pus";"薄雾";"薄霧";"Haze (ヘイズ)";"Névoa";"Mây mù";"Ефект гарячого повітря";"Izmaglica";"헤이즈";"Köd";"Марыва";"Ceață";""
"settings/jpegShots";"JPEG screenshots";"Captures d'écran JPEG";"Istantanee JPEG";"JPEG-Screenshots";"Capturas JPEG";"JPEG снимки";"Zrzuty ekranu w formacie JPEG";"Snímky v JPEG";"JPEG ekran görüntüleri";"JPEG 格式截屏";"JPEG 格式截圖";"JPEG スクリーンショット";"Capturas de écrã JPEG";"Ảnh màn hình JPEG";"JPEG знімки";"JPEG snimci";"JPEG 스크린샷";"JPEG képernyőmentések";"Здымкі экрана ў JPEG";"Capturi ecran ca JPEG";""
"settings/foliageReprojection";"Antialiasing of trees";"Anticrénelage des arbres";"Antialiasing degli alberi";"Baum-Antialiasing";"Antialiasing de árboles";"Антиалиасинг деревьев";"Antialiasing drzew";"Antialiasing stromů";"Ağaçlar için antialiasing";"植被抗锯齿";"植被抗鋸齒";"木のアンチエリアス";"Antialiasing de árvores";"Chống nhòe cho cây";"Згладжування дерев";"Smanjenje nazubljenosti ivica drveća";"나무 안티앨리어싱";"Fák élsimítása";"Згладжванне дрэваў";"Anticrenelare copaci";""
"settings/adv/grass";"Grass";"Herbe";"Erba";"Gras-Renderentfernung";"Hierba";"Трава";"Trawa";"Tráva";"Çimen";"草地质量";"草地品質";"草原";"Erva";"Cỏ";"Трава";"Trava";"잔디";"Fű renderelési távolsága";"Трава";"Iarbă";""
"settings/adv/grassInTankVision";"Grass in optics";"Affichage de l'herbe dans le viseur";"Visualizzare l'erba nelle ottiche";"Gras in Zieloptiken";"Muestra la hierba en las ópticas";"Трава в оптике";"Wyświetl trawę w celownikach";"Tráva v zaměřovači";"Optik cihazlarda çimen";"草地质量（瞄准镜视角）";"草地品質 in sniper view";"草原 in sniper view";"Erva em modo de atirador";"Phản chiếu cỏ trên ống kính";"Трава в оптиці";"Trava u nišanu";"광학장비의 잔디";"Fű megjelenítése irányzéknézetben";"Трава ў танкавым прыцэле";"Iarbă în vizor";""
"settings/adv/enableSuspensionAnimation";"Suspension Animation";"Animation des suspensions";"Animazione delle Sospensioni";"Animation von Kettenlaufwerken";"Animación de suspensión";"Визуализация работы подвески";"Animacja zawieszenia";"Animace odpružení";"Süspansiyon Animasyonu";"悬挂装置动画";"懸吊裝置動畫";"サスペンションアニメーション";"Animação da Suspensão";"Hiệu ứng giảm sóc";"Візуалізація роботи підвіски ";"Animacija modela vešanja";"서스펜션 애니메이션";"Felfüggesztésanimáció";"Візуалізацыя работы падвескі";"Animare suspensii";""
"settings/adv/vignette";"Vignette";"Vignette";"Vignettatura";"Vignettierung";"Viñetas";"Виньетка";"Efekt winiety";"Vinětizace";"Vinyet";"虚光";"裝飾圖案";"飾り模様";"Vinheta";"Họa tiết";"Віньєтка";"Vinjeta";"배경 흐리게";"Szegély";"Віньетка";"Vinietă";""
"settings/adv/softFx";"Soft particles";"Particules";"Particelle morbide";"Weiche Partikel";"Partículas suaves";"Мягкие частицы";"Drobne elementy";"Měkké částice";"Yumuşak parçacıklar";"软粒子";"柔和粒子";"ソフト・パーティクル";"Partículas suaves";"Hạt mềm";"М’які частки";"Meke čestice";"부드러운 입자";"Lágy részecskék";"Мяккія часціцы";"Particule fine";""
"settings/adv/fxReflection";"FX reflections";"Reflets FX";"Riflessi FX";"FX-Reflexionen";"Reflexiones FX";"Отражения эффектов";"Refleksy FX";"Efekty odrazů";"FX yansımaları";"FX 反射";"FX 反射";"FX 反射";"Reflexões FX";"Phản xạ FX";"Відображення ефектів";"Efekti refleksije";"FX 반사";"FX-tükröződés";"Адбіццё візуальных эфектаў";"Reflexii FX";""
"settings/adv/selfReflection";"Self reflections";"Reflets du véhicule du joueur";"Auto-riflessi";"Selbstreflexionen";"Reflejo propio";"Самоотражения";"Odbicia";"Vlastní odrazy";"Öz yansımalar";"自反射";"自身反射";"自己反射";"Autoreflexões";"Phản xạ";"Самовідображення";"Samo-refleksija";"자체 반사";"Öntükröződés";"Уласныя адбіткі";"Autoreflexii";""
"settings/adv/postfx_antialiasing";"Extra AA";"Extra AA";"AA Extra";"Zusätzliches AA";"Suavizado de contorno extra";"Дополнительное сглаживание";"Dodatkowy antialiasing";"Extra vyhlazování hran";"Ekstra AA";"后期反锯齿";"後期反鋸齒";"エクストラ AA";"Extra AA";"AA bổ sung";"Додаткове згладжування";"Dodatni AA";"엑스트라 AA";"Extra élsimítás";"Дадатковае згладжванне";"Extra anticrenelare";""
"settings/adv/postfx_extra";"Extra";"Extra";"Extra";"Zusätzlich";"Extra";"Дополнительно";"Dodatkowy";"Extra";"Ekstra";"后期反锯齿";"後期反鋸齒";"エクストラ AA";"Extra";"Bổ sung";"Додаткове";"Dodatni";"엑스트라";"Extra";"Дадаткова";"Extra";""
"settings/adv/postfx_antialiasing_title";"This parameter selects type of post-processing anti-aliasing options.";"Ce paramètre sélectionne le type d'anticrénelage post-traitement.";"Questo parametro consente di selezionare il tipo di antialiasing post-elaborazione";"Dieser Parameter legt die Antialiasing-Optionen für die Nachbearbeitung fest.";"Este parámetro selecciona el tipo de opciones de suavizado de contorno posterior al procesamiento.";"Этот параметр отвечает за пост-процессное сглаживание, улучшая результирующую картинку.";"Ten parametr określa rodzaj antialiasingu podczas przetwarzania końcowego";"Tento parametr vybírá typ vyhlazování hran při následném zpracování obrazu";"Bu seçenek, post-processing anti-aliasing türünü seçmek içindir.";"此选项提供了几种后期反锯齿处理算法";"此選項提供了幾種後期反鋸齒處理算法";"このパラメータは、後処理でのアンチエリアス処理オプションのタイプを選択します。";"Este parâmetro seleciona o tipo de opções de pós-processamento de anti-aliasing";"Thông số này chọn loại tùy chọn sau xử lý chống răng cưa.";"Цей параметр відповідає за пост-процесне згладжування, покращуючи результуючу картинку.";"Ovaj parametar bira vrstu post-procesorske anti-aliasing opcije.";"이 파라미터는 후처리 앤티앨리어싱 옵션의 유형을 선택합니다.";"Ez a paraméter határozza meg az élsimítás utófeldolgozási módját.";"Гэты параметр адказвае за пост-працэснае згладжванне, паляпшаючы выніковую выяву.";"Acest parametru selectează opțiunea de postprocesare anticrenelare.";""
"setting/none";"None";"Aucun";"Nessuno";"Kein";"Ninguno";"Нет";"Nic";"Žádné";"Hiçbiri";"无";"無";"なし";"Nenhum";"Không có";"немає";"Ništa";"없음";"nincs";"Няма";"Fără";""
"setting/high_fxaa";"HQ FXAA";"HQ FXAA";"HQ FXAA";"HQ FXAA";"FXAA HQ";"HQ FXAA";"HQ FXAA";"HQ FXAA";"HQ FXAA";"高品质快速近似反锯齿（HQ FXAA）";"高品質快速近似反鋸齒（HQ FXAA）";"HQ FXAA";"HQ FXAA";"HQ FXAA";"HQ FXAA";"HQ FXAA";"고품질 FXAA";"HQ FXAA";"HQ FXAA";"FXAA mare";""
"settings/adv/advancedShore";"Advanced shore";"Rivage avancé";"Coste migliorate";"Verbesserte Ufer";"Costa avanzada";"Улучшенный прибой";"Szczegółowy widok brzegu";"Detailní pobřeží";"Gelişmiş kıyı";"高级水岸特效";"進階海岸特效";"詳細な海岸";"Costa avançada";"Bờ biển nâng cao";"Покращений прибій";"Napredna obala";"고급 해안";"Részletes vízpart";"Палепшаны прыбой";"Țărm detaliat";""
"settings/adv/waterQuality";"Water quality";"Qualité de l'eau";"Qualità Acqua";"Wasserqualität";"Calidad del agua";"Качество воды";"Jakość wody";"Kvalita vykreslení vody";"Su kalitesi";"水\t面\t质\t量";"水面品質";"水質";"Qualidade da água";"Chất lượng nước";"Якість води";"Kvalitet vode";"물 품질";"Víz minősége";"Якасць вады";"Calitate apă";""
"settings/adv/waterFoamQuality";"Foam quality";"Qualité de l'écume";"Qualità Scia Mare";"Schaum-Qualität";"Calidad de la espuma";"Качество пены";"Jakość piany";"Kvalita pěny";"Köpük kalitesi";"泡沫质量";"泡沫質量";"泡品質";"Detalhe da espuma";"Chất lượng bọt";"Якість піни ";"Kvalitet pene";"거품 품질";"Habzás minősége";"Якасць пены";"Calitate spumă";""
"settings/adv/waterReflection";"Water reflections";"Reflets de l'eau";"Riflessi acqua";"Wasserreflexionen";"Reflejos en el agua";"Отражения на воде";"Odbicia w wodzie";"Odrazy na vodě";"Su yansımaları";"水面反射";"水面倒影";"水の反射";"Reflexões da água";"Phản xạ mặt nước";"Відображення на воді";"Odsjaj na vodi";"물 반사";"Fényvisszaverődés vízen";"Адбіткі на вадзе";"Reflexii apă";""
"settings/adv/shadows";"Shadows";"Ombres";"Ombre";"Schatten";"Sombras";"Тени";"Cienie";"Stíny";"Gölgeler";"阴影";"陰影";"シャドウ";"Sombras";"Bóng";"Тіні";"Senke";"그림자";"Árnyékok";"Цені";"Umbre";""
"settings/adv/tireTracksQuality";"Tire tracks";"Traces de pneus";"Impronte ruote";"Kettenspuren";"Huellas de neumáticos";"Следы от гусениц";"Ślady gąsienic";"Stopy pásů";"Lastik izleri";"车辙品质";"車轍品質";"タイヤ跡";"Rasto das esteiras";"Vết bánh xe";"Сліди від гусениць ";"Tragovi gusenica I točkova";"타이어 트랙";"Keréknyomok";"Сляды тракаў";"Urme roți";""
"settings/adv/dirtSubDiv";"Terrain deformation";"Déformation du terrain";"Deformazione Terreno";"Geländedeformierung";"Deformación del terreno";"Деформация ландшафта";"Deformacja terenu";"Deformace terénu";"Yüzey deformasyonu";"地形形变品质";"地形形變品質";"地形の変形";"Deformação do terreno";"Biến dạng địa hình";"Деформація ландшафту ";"Deformacija terena";"지형 변형";"Terepdeformáció";"Дэфармацыя краявіду";"Deformare teren";""
"settings/adv/alpha_to_coverage";"Detailed foliage";"Feuillage détaillé";"Fogliame Dettagliato";"Detailiertes Blattwerk";"Follaje detallado";"Улучшенная растительность";"Szczegółowa roślinność";"Detailní vegetace";"Detaylı yeşillik";"植被细节";"植被細節";"細かな葉";"Detalhe da folhagem";"Chi tiết lá cây";"Покращена рослинність ";"Detaljan prikaz zelenila";"상세 나뭇잎";"Részletes lombozat";"Дэталізацыя расліннасці";"Foliaj detaliat";""
"settings/adv/ssao";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"屏幕空间环境光遮蔽";"螢幕空間環境光遮蔽（SSAO）";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";"SSAO";""
"settings/adv/ssao_title";"Screen Space Ambient Occlusion";"Occlusion ambiante à l'écran";"Occlusione Spazio Ambientale";"Screen Space Ambient Occlusion";"Oclusión ambiental espacial de pantalla";"Просчёт окружающего света в экранном пространстве";"Cieniowanie środowiskowe";"Vykreslování okluze prostředí";"Screen Space Ambient Occlusion";"屏幕环境光遮蔽";"螢幕空間環境光遮蔽";"スクリーン・スペース・アンビエント・オクルージョン";"Oclusão Ambiental do Espaço da Tela";"Màn hình không gian Ambient Occlusion";"Прорахунок навколишнього освітлення в екранному просторі";" Zatamljenje rasejane svetlosti";"화면 공간 주변 폐색";"Screen Space Ambient Occlusion";"Рассеянне навакольнага святла ў экраннай прасторы";"Ocluzie Ambientală Spațiu Ecran";""
"settings/adv/rendinstGlobalShadows";"Object shadows";"Ombres des objets";"Ombre oggetti";"Objektschatten";"Sombras de objetos";"Тени от объектов";"Cienie obiektów";"Stíny objektů";"Nesne gölgeleri";"景物阴影";"景物陰影";"オブジェクトのシャドー";"Sombras do objetos";"Bóng của đối tượng";"Тіні від об’єктів";"Senke objekata";"물체 그림자";"Objektumárnyékok";"Цені аб'ектаў";"Umbre obiecte";""
"settings/adv/rendinstGlobalShadows_title";"Object shadows' adds shadows from landscape objects, such as trees and houses, but seriously affects performance.";"Cette option ajoute des ombres aux objets tel que les arbres et maisons, mais fait beaucoup baisser les performances.";"Le ombre vengono aggiunte a tutti gli oggetti dello sfondo come alberi e case ma riducono di molto le performances.";"Objektschatten aktiviert den Schattenwurf für Landschaftsobjekte wie z.B. Bäume und Häuser. Hat starke Auswirkungen auf die Spielleistung.";"Objetos sombras 'agrega sombras de objetos de paisaje como árboles y casas, pero afecta seriamente el rendimiento.";"Тени от объектов заметно улучшают качество картинки, но сильно влияют на производительность игры.";"Dodaje obiektom cienie z otoczenia, drzew, budynków. Wpływa mocno na wydajność.";"Stíny objektů přidávají zobrazení stínu objektům, jako jsou stromy a domy. Toto nastavení je značně náročné na výkon vašeho počítače.";"Nesne gölgeleri' ağaçlar ve evler gibi arkaplan nesnelerinin gölgelerini ekler, ancak perforansı ciddi anlamda etkiler.";"为地面景物（树、房屋）添加阴影。开启此选项会大幅影响性能。";"為地面景物（樹、房屋）添加陰影。開啟此選項會大幅影響性能。";"Objects shadows' adds shadows from landscape objects like trees and houses but seriously affects performance.";"‘Sombras dos Objetos’ adiciona sombras aos objetos das paisagem como árvores e casas, mas afeta severamente o desempenho.";"Bóng của đối tượng thêm đổ bóng từ phong cảnh như cây cối và nhà cửa nhưng sẽ ảnh hưởng thực sự đến hiệu suất.";"Тіні від об’єктів помітно покращують якість картинки, але сильно впливають на продуктивність гри.";"Opcija 'Senke objekata' dodaje senke objektima, poput drveća, kuća, i ozbiljno utiče na performanse igre.";"물체 그림자는 나무와 집과 같은 배경 물체에 그림자를 더하지만 성능에 심각한 영향을 줍니다.";"Megjeleníti a táj objektumainak – például fák és házak – árnyékait. Észrevehetően javítja a képminőséget, de komoly mértékben befolyásolja a teljesítményt.";"Цені аб'ектаў паляпшаюць якасць выявы, але значна ўплываюць на прадукцыйнасць гульні.";"Umbre obiecte adaugă umbrele de la obiectele terenului, cum ar fi copacii și casele, dar afectează serios performanța.";""
"settings/adv/shadowDistanceScale";"Shadow distance";"Distance des ombres";"Distanza ombre";"Schattendistanz";"Distancia de las sombras";"Дальность теней";"Długość cieni";"Vzdálenost stínů";"Gölge mesafesi";"阴影绘制距离";"陰影繪製距離";"シャドー距離";"Distância das sombras";"Khoảng cách đổ bóng";"Дальність тіней";"Daljina senki";"그림자 거리";"Árnyékok láthatósági tartománya";"Далёкасць ценяў";"Distanță umbră";""
"settings/disableOverlays";"No overlays";"Aucune superposition";"Nessuna sovrapposizione";"Keine Overlays";"Sin superposición";"Без оверлеев";"Brak nakładek";"Žádné překrytí";"Üst katman yok";"无覆盖";"無覆蓋";"オーバーレイなし";"Sem overlays";"Khoông che phủ";"Без оверлеїв";"Bez prekrivača";"오버레이 없음";"Átfedések tiltása";"Без накладанняў";"Fără suprapuneri";""
"settings/main/speaker_title";"Speakers";"Hauts-parleurs ";"Altoparlanti";"Lautsprecher";"Altavoces";"Колонки";"Kolumny";"Reproduktory";"Hoparlörler";"扬声器";"喇叭";"スピーカー";"Altifalantes";"Loa";"Колонки";"Zvučnici";"스피커";"Hangszórók";"Аўдыёсістэма";"Difuzoare";""
"setting/speaker/auto";"Default";"Défaut";"Predefinito";"Standard";"Configuración predeterminada";"Cтандартные";"Standardowe";"Výchozí";"Varsayılan";"默认";"預設";"デフォルト";"Predefinido";"Mặc định";"Стандартні";"Osnovno";"기본";"Alapértelmezett";"Стандартная";"Implicite";""
"setting/speaker/stereo";"Stereo";"Stéréo";"Stereo";"Stereo";"Estéreo";"Стерео";"Stereo";"Stereo";"Stereo";"立体声";"立體聲";"ステレオ";"Estéreo";"Âm thanh vòm";"Стерео";"Stereo";"스테레오";"Sztereó";"Стэрэа";"Stereo";""
"setting/speaker/5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";"5.1";""
"setting/speaker/7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";"7.1";""
"settings/rendinstDistMul";"Tree range";"Distance des arbres";"Distanza alberi";"Baumdarstellungsdistanz";"Rango de árboles";"Дальность деревьев";"Widzialność drzew";"Vzdálenost vykreslení stromů";"Ağaç mesafesi";"树木加载范围";"樹木加載範圍";"ツリー範囲";"Alcance das árvores";"Phạm vi cây cối";"Дальність дерев";"Domet drveća";"나무 범위";"Fák renderelési távolsága";"Далёкасць дрэваў";"Distanță copaci";""
"settings/rendinstDistMul_title";"Preload range of trees. Increasing quality requires significant performance.";"Pré-charger la distance des arbres. La hausse de la qualité nécessite des performances significatives.";"Precaricamento della distanza degli alberi. Per aumentare la qualità sono necessarie prestazioni considerevoli.";"Bestimmt die Distanz, auf der Bäume vorzeitig in den Speicher geladen werden. Eine hohe Qualitätseinstellung erfordert einen leistungsstarken Computer.";"Rango precargado de árboles. El aumento de la calidad requiere un rendimiento considerable.";"Дальность подгрузки деревьев. Повышение дальности значительно увеличивает требования к производительности системы.";"Zasięg widzialności drzew. Zwiększenie ich jakości wymaga odpowiedniej wydajności komputera.";"Vzdálenost pro detailní vykreslení stromů. Zvýšení kvality má značný dopad na výkon.";"Ağaçların önyükleme mesafesi. Kaliteyi artırmak ciddi performans gerektirir.";"数木的预加载范围。提升此项设置需占用大量显示资源。";"樹木加載範圍。提升此項設定需佔用大量顯示資源。";"ツリー範囲をプリロードします。品質を向上させるには、かなりのパフォーマンスが必要です。";"Precarregar o alcance das árvores. Aumentar a qualidade requer aumento na performance.";"Phạm vi nhìn thấy cây cối. Tăng chi tiết yêu cầu hiệu suất đáng kể.";"Дальність підвантаження дерев. Підвищення дальності значно збільшує вимоги до продуктивності системи.";"Prikazivanje dometa drveća. Povećanje dometa veoma povećava potrebne sistemske performanse.";"나무 범위를 미리 로드하십시오. 품질을 강화하려면 성능이 뛰어나야 합니다.";"Fák előtöltési tartománya. Növelése nagyban befolyásolja a teljesítményt.";"Далёкасць бачнасці дрэваў. Павелічэнне далёкасці значна павялічвае патрабаванні да прадукцыйнасці сістэмы.";"Distanță preîncărcare copaci. Mărirea calității necesită o performanță crescută.";""
"settings/fxDensityMul";"Particle density";"Densité des particules";"Densità particelle";"Partikeldichte";"Densidad de particula";"Плотность частиц";"Gęstość cząsteczek";"Hustota částic";"Parçacık yoğunluğu";"粒子密度";"粒子密度";"パーティクル密度";"Densidade das partículas";"Mật độ điểm ảnh";"Щільність часток";"Gustina čestica";"입자 밀도";"Részecskesűrűség";"Шчыльнасць часціц";"Densitate particule";""
"settings/fxDensityMul_title";"Particle density";"Densité des particules";"Densità particelle";"Partikeldichte";"Densidad de particula";"Плотность частиц";"Gęstość cząsteczek";"Hustota částic";"Parçacık yoğunluğu";"粒子密度";"粒子密度";"パーティクル密度";"Densidade das partículas";"Mật độ điểm ảnh";"Щільність часток";"Gustina čestica";"입자 밀도";"Részecskesűrűség";"Шчыльнасць часціц";"Densitate particule";""
"settings/grassRadiusMul";"Grass";"Herbe";"Erba";"Gras-Renderentfernung";"Hierba";"Трава";"Trawa";"Tráva";"Çimen";"草地可视距离";"草地能見距離";"草原";"Erva";"Cỏ";"Трава";"Trava";"잔디";"Fű renderelési távolsága";"Трава";"Iarbă";""
"settings/grassRadiusMul_title";"Grass visibility range. Increasing this range significantly affects performance.";"Distance de visibilité de l'herbe. Augmenter cette distance affecte significativement les performances.";"Distanza di visibilità dell'erba. L'aumento di questa distanza incide notevolmente sulle prestazioni.";"Grassichtbereich. Eine hohe Qualitätseinstellung erfordert einen leistungsstarken Computer.";"Rango de visibilidad de la hierba. Si aumentas este rango, el rendimiento se verá afectado de manera considerable.";"Дальность отрисовки травы. Увеличение дальности отрисовки существенно повышает требования к системе.";"Zasięg widzialności trawy. Zwiększenie go znacznie wpływa na wydajność.";"Vzdálenost viditelnosti trávy. Zvětšení této vzdálenosti má velký dopad na výkon.";"Çimen görüş mesafesi. Bu mesafeyi arttırmak performansı büyük ölçüde etkiler.";"草地可视距离。提升此项设置需占用大量显示资源。";"草地能視距離。提升此項設定需佔用大量顯示資源。";"草原視程。視程を広げると、パフォーマンスに大きく影響します。";"Alcance de visibilidade da erva. Aumentando o alcance afeta significativamente a performance.";"Phạm vi tầm nhìn cây cỏ. Tăng phạm vi này sẽ ảnh hưởng đáng kể đến hiệu suất.";"Дальність промальовування трави. Збільшення дальності суттєво підвищить вимоги до системи.";"Domet vidljivosti trave. Povećavanje dometa veoma utiče na performanse igre.";"잔디 시계 범위. 이 범위를 증가시키면 성능에 큰 영향을 줍니다.";"Fű renderelési távolsága. Növelése nagyban befolyásolja a teljesítményt.";"Далёкасць адрысоўкі травы. Павелічэнне далёкасці адрысоўкі значна ўплывае на прадукцыйнасць.";"Distanță vizibilitate iarbă. Mărirea distanței afectează semnificativ performanța. ";""
"settings/backgroundScale";"Render resolution";"Résolution du rendu";"Risoluzione sfondo";"Hintergrundauflösung";"Resolución del fondo";"Разрешение изображения";"Rozdzielczość tła";"Rozlišení pozadí";"Render  çözünürlüğü";"背景分辨率";"背景解析度";"バックグラウンド解像度";"Resolução da renderização";"Độ phân giải hiển thị";"Роздільна здатність зображення";"Rezolucija rendera";"렌더링 해상도";"Renderelés felbontása";"Разрознасць выявы";"Rezoluție generare";""
"settings/backgroundScale_title";"Background resolution significantly decreases quality of all backgrounds. You can lower this setting in case of insufficient performance of your system. Default parameters of presets are recommended.";"Diminuer la résolution du rendu réduit nettement la qualité graphique. Vous pouvez baisser ce paramètre pour gagner en performances. Il est recommandé d'utiliser le paramètre par défaut.";"L'opzione risoluzione sfondo consente di ridurre notevolmente la qualità di qualsiasi sfondo. È possibile ridurre questa impostazione nel caso il sistema utilizzato non sia in grado di offrire prestazioni soddisfacenti. Si consiglia di utilizzare i parametri dei set predefiniti.";"Die Hintergrundauflösung bestimmt die Qualität aller Hintergründe. Diese Einstellung kann bei leistungsschwachen Systemen herabgesetzt werden, um die Spielleistung zu verbessern. Die Verwendung der Standardeinstellungen wird empfohlen.";"La resolución del fondo disminuye considerablemente la calidad de todos los fondos. Puedes disminuir este ajuste si el rendimiento de tu sistema no es suficiente. Se recomienda utilizar los parámetros predeterminados.";"Разрешение фона существенно влияет на качество изображения. Уменьшайте эту настройку только в случае, если производительности вашей системы не хватает для вашего разрешения экрана. Не рекомендуется менять параметры, выставленные по умолчанию.";"Rozdzielczość tła znacznie obniża jakość wszystkich teł. Możesz zmniejszyć tę wartość, jeśli wydajność twojego komputera jest poniżej oczekiwań. Zalecane są domyślne parametry wybranych ustawień predefiniowanych.";"Rozlišení pozadí značně snižuje kvalitu veškerého vykreslování. Pokud není výkon vašeho systému dostatečný, můžete toto nastavení snížit. Doporučujeme používat výchozí nastavení.";"Render çözünürlüğü, tüm arkaplanların kalitesini önemli ölçüde düşürür. Sisteminizin performansı yeterli değilse bu seçeneği düşürebilirsiniz. Varsayılan parametre ayarları önerilir.";"背景分辨率能大幅影响所有背景图像的质量。游戏表现较差时可以调低此设置。建议使用默认参数。";"背景解析度能大幅影響所有背景圖像的品質。遊戲效能較差時可以調低此設定。建議使用預設參數。";"バックグラウンド解像度により、全背景の品質が大きく低下します。システムのパフォーマンスが十分でない場合は、この設定を下げることができます。プリセットの既定パラメータを推奨致します。";"Resolução do fundo diminui significativamente a qualidade do fundo. Pode baifar esta configuração se o comportamento neste sistema é insuficiente. São recomendados os parametros predefinidos.";"Độ phân giải nền tảng làm giảm đáng kể chất lượng của tất cả các nền tảng. Bạn có thể giảm cài đặt này nếu hiệu suất của hệ thống của bạn không đủ. Thông số mặc định cài đặt trước được khuyến khích.";"Роздільна здатність суттєво впливає на якість зображення. Знижуйте цей параметр тільки в тому випадку, якщо продуктивності вашої системи не вистачає для роздільної здатності вашого екрану. Не рекомендується змінювати параметри, які встановлені за замовчуванням.";"Rezolucija pozadine veoma umanjuje kvalitet svih objekata pozadine. Možete smanjiti ovo podešavanje u slučaju da nemate dovoljno jake performanse vašeg sistema. Savetujemo vam da zadržite automatske parametre podešavanja.";"배경 해상도는 모든 배경의 품질을 크게 떨어트립니다. 시스템 성능이 부족한 경우 이 설정을 낮출 수 있습니다. 기본 설정의 기본 파라미터를 추천합니다.";"A renderelési felbontás csökkentése jelentősen rontja a képminőséget. Javasolt az alapértelmezett beállítás használata, de elégtelen teljesítmény esetén csökkentheted értékét.";"Разрознасць фону значна ўплывае на якасць выявы. Памяншайце гэты параметр толькі калі прадукцыйнасць вашай сістэмы недастатковая для разрознасці вашага экрану. Рэкамендуецца ўжываць перадвызначанае значэнне выбраных графічных налад.";"Rezoluția din fundal afectează semnificativ calitatea tuturor elementelor de fundal. Dacă performanța este scăzută se poate reduce această setare. Este recomandată setarea prestabilită.";""
"settings/clipmapScale";"Terrain resolution";"Résolution du terrain";"Risoluzione terreno";"Geländeauflösung";"Resolución del terreno";"Разрешение ландшафта";"Rozdzielczość terenu";"Rozlišení terénu";"Arazi çözünürlüğü";"地形分辨率";"地形解析度";"テレイン解像度";"Resolução do terreno";"Độ phân giải địa hình";"Роздільна здатність ландшафту";"Rezolucija terena";"지형 해상도";"Terepfelbontás";"Разрознасць краявіду";"Rezoluție teren";""
"settings/landquality";"Terrain quality";"Qualité du terrain";"Risoluzione terreno";"Geländequalität";"Resolución del terreno";"Качество ландшафта";"Rozdzielczość terenu";"Kvalita terénu";"Arazi kalitesi";"地形分辨率";"地形品質";"テレイン解像度";"Qualidade do terreno";"Chi tiết địa hình";"Якість ландшафту";"Kvalitet terena";"지형 품질";"Terepminőség";"Якасць краявіду";"Calitate teren";""
